gene,HP22068_G11,HP22068_G2,HP22095_G11,HP22095_G2,HP22182_G11,HP22182_G2
SF3B4,552.7425753,878.6594106,1062.814451,890.7213631,1674.542736,899.3052994
MTMR11,126.5952585,193.4972854,154.124191,91.80456397,133.999204,165.0585243
OTUD7B,289.8655505,384.6075606,1313.174859,242.0961742,683.1449029,532.6570455
AC244033.2,138.6597108,126.1401615,319.3998552,152.555041,375.9492666,230.246828
VPS45,292.3353526,407.619128,1782.619258,472.3022975,628.7923404,472.6055931
PLEKHO1,470.4464242,711.3016488,903.058463,646.3399749,2703.080921,2009.22357
ANP32E,775.7067048,1374.362642,1500.328388,1723.496596,3707.014068,3128.222915
CA14,3,1,3,4,7,2.272991665
APH1A,865.1813065,1496.70369,1781.777326,1605.733417,2749.724198,1855.848088
C1orf54,241.0317888,350.3249314,534.5735394,292.4237375,912.9286444,585.8540287
CIART,172.3012277,309.9044309,183.043476,296.5916776,170.8893801,289.5524903
MRPS21,3621.228074,5284.536996,8320.63034,6011.95335,9650.570285,6069.633598
PRPF3,372.1970073,534.266836,877.3841585,569.0296547,971.2069176,851.404175
RPRD2,546.4167249,869.1162422,4027.044337,1089.730238,1948.230043,1560.343064
TARS2,187.9728253,241.783423,400.9538569,289.1426666,550.0447922,373.1062802
ECM1,200.8585178,223.8268813,211.3644097,172.1064787,507.5386324,347.6737759
FALEC,71.11174417,67.39037573,129.9557231,62,109.0056796,139.2133711
ADAMTSL4,27,25.8834895,17.00894155,3.75601006,11.55193234,13.79205408
ADAMTSL4-AS1,28.94127053,24.93121587,681.8749759,9.45487847,45.60741613,24.21609218
MCL1,1747.597776,2194.247877,2063.748759,1925.164508,4222.605649,3519.530446
ENSA,2630.292416,4032.106911,8461.749754,5539.337265,8469.94957,5126.234733
GOLPH3L,334.6256613,558.2082212,1296.955243,595.3312344,1086.948356,786.9482277
CTSS,949.247785,1044.124329,1366.889981,1428.376849,2321.502641,2016.851108
CTSK,212.7536979,193.912041,210.7050899,158.4121964,1129.837949,1089.369645
ARNT,262.4092344,340.5169582,1359.799434,392.2829953,670.7267494,502.7153317
SETDB1,173.5955261,220.317728,919.761012,266.1422457,436.7344874,315.812545
