Protein	Donor	Type	Replicate	Value
SENP3-EIF4A1	6	H	3	127001.9032
SENP3-EIF4A1	1	L	1	165613.1309
SENP3-EIF4A1	1	L	2	162223.0857
SENP3-EIF4A1	1	L	3	160372.872
SENP3-EIF4A1	2	L	1	146550.323
SENP3-EIF4A1	2	L	2	150487.3534
SENP3-EIF4A1	2	L	3	143843.0891
SENP3-EIF4A1	3	L	1	137948.8248
SENP3-EIF4A1	3	L	2	126076.9173
SENP3-EIF4A1	3	L	3	134660.7765
SENP3-EIF4A1	4	L	1	62514.43993
SENP3-EIF4A1	4	L	2	53157.35687
SENP3-EIF4A1	4	L	3	62077.57471
SENP3-EIF4A1	5	L	1	154021.2911
SENP3-EIF4A1	5	L	2	147070.1487
SENP3-EIF4A1	5	L	3	150799.3068
SENP3-EIF4A1	6	L	1	149138.1596
SENP3-EIF4A1	6	L	2	151705.7913
SENP3-EIF4A1	6	L	3	160850.8806
EIF4A2	1	H	1	146562
EIF4A2	1	H	2	137192.3121
EIF4A2	1	H	3	150336.4366
EIF4A2	2	H	1	119343.1767
EIF4A2	2	H	2	115700.5684
EIF4A2	2	H	3	113265.8121
EIF4A2	3	H	1	113022.4495
EIF4A2	3	H	2	125248.8219
EIF4A2	3	H	3	117267.809
EIF4A2	4	H	1	56427.53788
EIF4A2	4	H	2	59631.94222
EIF4A2	4	H	3	55862.92249
EIF4A2	5	H	1	116718.4211
EIF4A2	5	H	2	126739.4069
EIF4A2	5	H	3	134312.8704
EIF4A2	6	H	1	140652.2836
EIF4A2	6	H	2	137256.7028
EIF4A2	6	H	3	127001.9032
EIF4A2	1	L	1	165613.1309
EIF4A2	1	L	2	162223.0857
EIF4A2	1	L	3	160372.872
EIF4A2	2	L	1	146550.323
EIF4A2	2	L	2	150487.3534
EIF4A2	2	L	3	143843.0891
EIF4A2	3	L	1	137948.8248
EIF4A2	3	L	2	126076.9173
EIF4A2	3	L	3	134660.7765
EIF4A2	4	L	1	62514.43993
EIF4A2	4	L	2	53157.35687
EIF4A2	4	L	3	62077.57471
EIF4A2	5	L	1	154021.2911
EIF4A2	5	L	2	147070.1487
EIF4A2	5	L	3	150799.3068
EIF4A2	6	L	1	149138.1596
EIF4A2	6	L	2	151705.7913
EIF4A2	6	L	3	160850.8806
LASP1	1	H	1	132246
LASP1	1	H	2	134757.0971
LASP1	1	H	3	135506.1002
LASP1	2	H	1	98307.39311
LASP1	2	H	2	100922.2611
LASP1	2	H	3	104812.135
LASP1	3	H	1	106182.8436
LASP1	3	H	2	113389.814
LASP1	3	H	3	110195.9869
LASP1	4	H	1	83742.14505
LASP1	4	H	2	90964.19924
LASP1	4	H	3	96960.66867
LASP1	5	H	1	91320.19849
LASP1	5	H	2	87416.71917
LASP1	5	H	3	101555.0595
LASP1	6	H	1	100273.4691
LASP1	6	H	2	107269.7438
LASP1	6	H	3	100192.6282
LASP1	1	L	1	105855.1505
LASP1	1	L	2	112862.4521
LASP1	1	L	3	111884.3694
LASP1	2	L	1	94731.17067
LASP1	2	L	2	96143.00278
LASP1	2	L	3	91893.10001
LASP1	3	L	1	97650.76777
LASP1	3	L	2	95031.39487
LASP1	3	L	3	96215.67632
LASP1	4	L	1	72591.55276
LASP1	4	L	2	69669.93782
LASP1	4	L	3	77254.37661
LASP1	5	L	1	96140.16806
LASP1	5	L	2	86710.25233
LASP1	5	L	3	95962.74087
LASP1	6	L	1	88944.30776
LASP1	6	L	2	88864.70951
LASP1	6	L	3	93201.24878
RPS6	1	H	1	100680
RPS6	1	H	2	94315.29561
RPS6	1	H	3	103505.087
RPS6	2	H	1	132365.175
RPS6	2	H	2	132141.1488
RPS6	2	H	3	134595.8825
RPS6	3	H	1	132000.5472
RPS6	3	H	2	127276.0418
RPS6	3	H	3	137187.9824
RPS6	4	H	1	39453.01446
RPS6	4	H	2	38744.66335
RPS6	4	H	3	30563.04772
RPS6	5	H	1	79840.14257
RPS6	5	H	2	95996.63922
RPS6	5	H	3	95003.99743
RPS6	6	H	1	86212.25921
RPS6	6	H	2	92222.89732
RPS6	6	H	3	83183.26297
RPS6	1	L	1	88259.71772
RPS6	1	L	2	85385.20099
RPS6	1	L	3	93494.8334
RPS6	2	L	1	111074.5202
RPS6	2	L	2	105305.3609
RPS6	2	L	3	115151.6121
RPS6	3	L	1	101842.1704
RPS6	3	L	2	105192.1675
RPS6	3	L	3	111598.3735
RPS6	4	L	1	23863.64416
RPS6	4	L	2	34009.30122
RPS6	4	L	3	27075.64534
RPS6	5	L	1	85153.10239
RPS6	5	L	2	89017.37044
RPS6	5	L	3	95161.656
RPS6	6	L	1	70928.7802
RPS6	6	L	2	73405.65012
RPS6	6	L	3	68842.32009
SARNP1	1	H	1	48652.9
SARNP1	1	H	2	52130.14412
SARNP1	1	H	3	62046.60524
SARNP1	2	H	1	107072.5141
SARNP1	2	H	2	103551.3273
SARNP1	2	H	3	104041.5338
SARNP1	3	H	1	87357.32982
SARNP1	3	H	2	97862.26949
SARNP1	3	H	3	89761.18218
SARNP1	4	H	1	37395.68469
SARNP1	4	H	2	30006.84556
SARNP1	4	H	3	42617.99919
SARNP1	5	H	1	91392.98284
SARNP1	5	H	2	111720.6919
SARNP1	5	H	3	98516.63207
SARNP1	6	H	1	75084.41599
SARNP1	6	H	2	75125.80768
SARNP1	6	H	3	77777.26953
SARNP1	1	L	1	49411.38842
SARNP1	1	L	2	44113.11415
SARNP1	1	L	3	53253.31725
SARNP1	2	L	1	62356.38181
SARNP1	2	L	2	62327.21199
SARNP1	2	L	3	72470.78266
SARNP1	3	L	1	67276.15932
SARNP1	3	L	2	60607.93936
SARNP1	3	L	3	61721.44478
SARNP1	4	L	1	18320.22897
SARNP1	4	L	2	13290.74966
SARNP1	4	L	3	29951.6904
SARNP1	5	L	1	72219.86731
SARNP1	5	L	2	78126.81892
SARNP1	5	L	3	83313.0349
SARNP1	6	L	1	68915.88104
SARNP1	6	L	2	71904.45648
SARNP1	6	L	3	70448.29399
ATP5C1	1	H	1	41510.8
ATP5C1	1	H	2	40093.01329
ATP5C1	1	H	3	41230.04335
ATP5C1	2	H	1	36565.22757
ATP5C1	2	H	2	39786.51252
ATP5C1	2	H	3	36431.47945
ATP5C1	3	H	1	32201.16021
ATP5C1	3	H	2	33293.48725
ATP5C1	3	H	3	28689.65942
ATP5C1	4	H	1	33608.35663
ATP5C1	4	H	2	28945.03086
ATP5C1	4	H	3	27536.49225
ATP5C1	5	H	1	25476.93513
ATP5C1	5	H	2	25019.88393
ATP5C1	5	H	3	24870.71612
ATP5C1	6	H	1	47252.17096
ATP5C1	6	H	2	48767.16925
ATP5C1	6	H	3	49905.99389
ATP5C1	1	L	1	46089.97708
ATP5C1	1	L	2	51854.75088
ATP5C1	1	L	3	46029.56528
ATP5C1	2	L	1	64302.34436
ATP5C1	2	L	2	68475.42541
ATP5C1	2	L	3	65148.42522
ATP5C1	3	L	1	61982.92444
ATP5C1	3	L	2	61321.87136
ATP5C1	3	L	3	58953.32236
ATP5C1	4	L	1	28411.06895
ATP5C1	4	L	2	25503.76861
