ionIdx	ionMz	ionAverageInt	ionTopFormula	ionTopIon	ionTopName	D1 LG	D1 HG	D2 LG	D2 HG	D3 LG	D3 HG	D4 LG	D4 HG	D5 LG	D5 HG		
1133	619.2899	13691.44126	C29H49O12P	-H(-)	Arachidonoylglycerophosphoi...	9649.5	12318.5	7022.5	7169	6757.5	8377.5	9155.5	15382.5	8934	9137	HMDB0114643	HMDB0114643
830	363.2901	10706.4217	C23H40O3	-H(-)	Arachidonyl Glycerol ether	12647	10749.5	8080	6861.5	12664.5	10738.5	11600	11073	11430.5	10931.5	HMDB0125227	HMDB0125227
1095	551.3048	8166.597537	C22H44N6O10	-H(-)	Arbekacin &1	7992	9174.5	4971.5	6978	6870	7261	7980	7832	8794	7170.5	HMDB0036684	HMDB0036684
611	284.0931	26550.54129	C16H15NO4	-H(-)	Arborinine	43531.5	29334.5	12531	15129	41102	26631.5	40464	28495.5	46115	26884	HMDB0127029	HMDB0127029
576	271.0820	25395.00564	C12H16O7	-H(-)	Arbutin	22615	19239.5	21548.5	19983	22433	20168.5	24144	22776	23874	25479.5	C04458	C04458
236	173.1045	68576.67191	C6H14N4O2	-H(-)	Arginine	46238.5	59245.5	23629	32606.5	45587.5	37620	62723.5	46742.5	65939.5	41710.5	HMDB0133198	HMDB0133198
177	155.0350	34580.05424	C7H8O4	-H(-)	Ascladiol	33633.5	33141.5	25548.5	30858	34179	34576	35184	35764.5	35237	36882.5	HMDB0137293	HMDB0137293
1111	573.2716	12913.47826	C31H42O10	-H(-)	Asclepin	15400.5	18039.5	8080	9122.5	12919.5	15282	16733.5	17784.5	14305	15260.5	HMDB0060754	HMDB0060754
106	131.0464	24628.97676	C4H8N2O3	-H(-)	Asparagine	29017.5	36041.5	9440.5	14909.5	13639.5	14352	25136.5	23629	19147.5	20552	HMDB0038040	HMDB0038040
440	228.0985	12993.65104	C9H15N3O4	-H(-)	Asparaginyl-Proline	14679	18051	8657.5	11409.5	8544	9625.5	22071.5	24785	14232	15776	CHEBI:48400	CHEBI:48400
413	218.0784	13197.88599	C7H13N3O5	-H(-)	Asparaginyl-Serine	9593	7641	5893.5	5582.5	9570.5	28630	10487	10174	10659.5	17080	HMDB0000186	HMDB0000186
159	148.9738	11597.12181	C4H6O2S2	-H(-)	Asparagusic acid	10482	25727	3605	5806	8064	25400.5	8678.5	24708	5689.5	15044.5	HMDB0062248	HMDB0062248
110	132.0302	156271.8052	C4H7NO4	-H(-)	Aspartate	106298.5	130100.5	72259	121509.5	153816	147125.5	531218.5	368887	214831	185727	C00334	C00334
67	116.0350	17293.73017	C4H7NO3	-H(-)	Aspartate semialdehyde	15771.5	14719.5	11046.5	13588	16908.5	15702	17153	18274	15337	20039.5	C04114	C04114
769	334.1247	8627.01779	C12H21N3O8	-H(-)	Aspartylglycosamine	9523	11110	6621	6766	7265.5	7295	11823	13446	9510.5	9257.5	HMDB0038424	HMDB0038424
846	369.1822	25614.5842	C21H26N2O4	-H(-)	Aspidodasycarpine	10249.5	11023	9612	8979.5	12990	10392.5	11712.5	9927	12894.5	10716.5	HMDB0127029	HMDB0127029
1098	558.3083	12882.8542	C31H45NO8	-H(-)	Auriculine	9353	11420	6522	7422.5	7982.5	9010	10679	11166	7768	9173	CHEBI:88431	CHEBI:88431
785	341.1393	10527.81009	C20H22O5	-H(-)	Austrobailignan 7	9717.5	10677.5	7524	9191	9847.5	10969	11508.5	12676	12192.5	12638	HMDB0032870	HMDB0032870
616	285.2433	17347.88139	C17H34O3	-H(-)	Avocadene	18281	23588	10968.5	13357	17659	16325	16172.5	17602.5	15868	15222.5	HMDB0000449	HMDB0000449
609	283.2280	29788.89357	C17H32O3	-H(-)	Avocadyne	26726.5	29722.5	19790.5	20724	26471.5	26203.5	26103	27542.5	22099.5	27798.5	C04114	C04114
230	172.0364	180930.458	C5H7N3O4	-H(-)	Azaserine	358750	213698.5	42114.5	28585	344476.5	361678	335486	343276.5	231436.5	216939	CHEBI:133197	CHEBI:133197
1223	854.5070	49240.50382	C48H73NO12	-H(-)	Azaspiracid 2	50467	49816	84378	109753	25806	25710.5	74468.5	64269	58703	72460.5	C09557	C09557
287	187.0975	192913.8161	C9H16O4	-H(-)	Azelaic acid	169005	214366.5	134990.5	163248	170271.5	172435.5	210970	181053	192986.5	212634.5	CHEBI:48400	CHEBI:48400
950	423.0945	9765.671694	C13H16N10O5S	-H(-)	Azimsulfuron	11463	10973	7009.5	6937	12282.5	14895.5	12432	14879	10701.5	11369.5	HMDB0114877	HMDB0114877
915	407.1532	43815.65334	C21H28O6S	-H(-)	Bakkenolide D	45951	56254	68724.5	72498.5	45063	39131.5	48514	40494.5	61463	51038	HMDB0094599	HMDB0094599
1036	489.3577	14824.01819	C30H50O5	-H(-)	Barringtogenol C	6625.5	6136	6179	5845.5	5648	7023	5703.5	6285	8012.5	7965	CHEBI:85803	CHEBI:85803
936	416.2437	8653.877811	C24H35NO5	-H(-)	Batrachotoxinin A	9098.5	11196	7892	9000	6616	7033	8424	8224	8772	8309.5	HMDB0127029	HMDB0127029
892	396.3479	8067.352894	C24H47NO3	-H(-)	Behenoylglycine	9005.5	14491	7567	8887	8858	8145.5	10161	8864	9398	10251.5	HMDB0035480	HMDB0035480
77	120.0450	11351.91899	C7H7NO	-H(-)	Benzamide	10407.5	12167.5	8497	10405.5	10614	10845	11365	10680	9294.5	12412.5	CHEBI:40131	CHEBI:40131
17	77.0397	9895.496297	C6H6	-H(-)	Benzene	9026.5	10943.5	8380.5	7843	12568	11369	10665.5	9993.5	9738	12143	CHEBI:89943	CHEBI:89943
165	150.0022	15700.5059	C7H5NOS	-H(-)	Benzisothiazol-3(2H)-one	9160	12202	9505.5	12763.5	11168	10496	13721.5	14627	10487.5	44901.5	CHEBI:87254	CHEBI:87254
79	121.0293	255529.2507	C7H6O2	-H(-)	Benzoate	246715.5	279858.5	202643	210239	285502	267974	264380.5	242929	266575.5	295939	HMDB0035667	HMDB0035667
71	117.0339	14983.74477	C8H6O	-H(-)	Benzofuran	14963.5	15531.5	10953	11528.5	17606	22961	14631.5	13065.5	14516.5	17629.5	HMDB0094654	HMDB0094654
49	108.0214	42477.40062	C6H5O2	-H(-)	Benzosemiquinone	41047	41324.5	30759	37377.5	41753	39474.5	41086.5	39599.5	39940	45577	HMDB0012815	HMDB0012815
115	134.0078	7973.81443	C7H5NS	-H(-)	Benzothiazole	5749	5433.5	4749	7343	5343	5376	6861	5755	6293.5	9563	HMDB0041010	HMDB0041010
390	212.9797	26572.58516	C7H6N2O2S2	-H(-)	Benzothiazolesulfonamide &1	27801	53419	16191	22111.5	30342.5	24785.5	36931.5	31914.5	27698.5	49617.5	HMDB0035544	HMDB0035544
623	288.1247	11035.27581	C16H19NO4	-H(-)	Benzoyl ecgonine	9157.5	8058.5	5497.5	5642	14379.5	16643.5	8836.5	8760	9486	10537.5	HMDB0037527	HMDB0037527
